split_id,row_index,llm_score_Llama_3_3_70B_Instruct_a,llm_score_Llama_3_3_70B_Instruct_b,label
development/dev_track_a,64,0.4,0.1,True
development/dev_track_a,65,0.4,0.1,True
development/dev_track_a,66,0.1,0.6,False
development/dev_track_a,67,0.4,0.2,False
development/dev_track_a,68,0.4,0.2,False
development/dev_track_a,69,0.4,0.1,False
development/dev_track_a,70,0.4,0.3,True
development/dev_track_a,71,0.1,0.4,False
development/dev_track_a,72,0.4,0.2,True
development/dev_track_a,73,0.1,0.6,False
development/dev_track_a,74,0.4,0.2,True
development/dev_track_a,75,0.1,0.8,False
development/dev_track_a,76,0.4,0.7,True
development/dev_track_a,77,0.1,0.4,False
development/dev_track_a,78,0.15,0.1,False
development/dev_track_a,79,0.1,0.4,False
development/dev_track_a,80,0.7,0.4,False
development/dev_track_a,81,0.4,0.1,True
development/dev_track_a,82,0.4,0.1,True
development/dev_track_a,83,0.4,0.2,True
development/dev_track_a,84,0.7,0.4,True
development/dev_track_a,85,0.1,0.6,False
development/dev_track_a,86,0.7,0.4,False
development/dev_track_a,87,0.4,0.2,False
development/dev_track_a,88,0.4,0.1,True
development/dev_track_a,89,0.4,0.3,False
development/dev_track_a,90,0.4,0.2,True
development/dev_track_a,91,0.1,0.6,False
development/dev_track_a,92,0.4,0.2,False
development/dev_track_a,93,0.15,0.4,False
development/dev_track_a,94,0.1,0.4,False
development/dev_track_a,95,0.7,0.4,True
development/dev_track_a,96,0.1,0.4,False
development/dev_track_a,97,0.7,0.2,True
development/dev_track_a,98,0.4,0.1,False
development/dev_track_a,99,0.7,0.4,True
development/dev_track_a,100,0.4,0.1,True
development/dev_track_a,101,0.4,0.1,True
development/dev_track_a,102,0.7,0.4,False
development/dev_track_a,103,0.4,0.2,False
development/dev_track_a,104,0.4,0.2,True
development/dev_track_a,105,0.4,0.3,False
development/dev_track_a,106,0.1,0.4,False
development/dev_track_a,107,0.7,0.4,True
development/dev_track_a,108,0.1,0.4,False
development/dev_track_a,109,0.1,0.4,False
development/dev_track_a,110,0.7,0.5,True
development/dev_track_a,111,0.4,0.2,False
development/dev_track_a,112,0.1,0.4,False
development/dev_track_a,113,0.1,0.4,False
development/dev_track_a,114,0.4,0.1,True
development/dev_track_a,115,0.6,0.4,True
development/dev_track_a,116,0.1,0.6,False
development/dev_track_a,117,0.7,0.1,True
development/dev_track_a,118,0.4,0.3,False
development/dev_track_a,119,0.4,0.1,True
development/dev_track_a,120,0.15,0.1,True
development/dev_track_a,121,0.1,0.4,False
development/dev_track_a,122,0.2,0.6,True
development/dev_track_a,123,0.4,0.1,True
development/dev_track_a,124,0.4,0.2,True
development/dev_track_a,125,0.4,0.2,False
development/dev_track_a,126,0.1,0.4,False
development/dev_track_a,127,0.1,0.4,False
development/dev_track_a,128,0.4,0.1,True
development/dev_track_a,129,0.4,0.1,False
development/dev_track_a,130,0.4,0.2,False
development/dev_track_a,131,0.4,0.2,True
development/dev_track_a,132,0.4,0.3,True
development/dev_track_a,133,0.4,0.2,True
development/dev_track_a,134,0.1,0.4,False
development/dev_track_a,135,0.7,0.4,True
development/dev_track_a,136,0.4,0.2,False
development/dev_track_a,137,0.1,0.6,False
development/dev_track_a,138,0.4,0.1,True
development/dev_track_a,139,0.4,0.1,True
development/dev_track_a,140,0.1,0.4,False
development/dev_track_a,141,0.4,0.1,False
development/dev_track_a,142,0.4,0.2,False
development/dev_track_a,143,0.1,0.4,False
development/dev_track_a,144,0.1,0.4,True
development/dev_track_a,145,0.7,0.4,True
development/dev_track_a,146,0.1,0.4,False
development/dev_track_a,147,0.4,0.2,True
development/dev_track_a,148,0.1,0.4,False
development/dev_track_a,149,0.1,0.4,False
development/dev_track_a,150,0.4,0.1,True
development/dev_track_a,151,0.4,0.1,True
development/dev_track_a,152,0.4,0.3,True
development/dev_track_a,153,0.4,0.2,True
development/dev_track_a,154,0.4,0.2,True
development/dev_track_a,155,0.1,0.4,False
development/dev_track_a,156,0.8,0.2,True
development/dev_track_a,157,0.1,0.4,True
development/dev_track_a,158,0.1,0.4,False
development/dev_track_a,159,0.2,0.6,False
development/dev_track_a,160,0.7,0.2,True
development/dev_track_a,161,0.1,0.6,True
development/dev_track_a,162,0.1,0.4,False
development/dev_track_a,163,0.4,0.2,True
development/dev_track_a,164,0.4,0.1,True
development/dev_track_a,165,0.4,0.2,False
development/dev_track_a,166,0.4,0.7,False
development/dev_track_a,167,0.4,0.6,False
development/dev_track_a,168,0.4,0.2,True
development/dev_track_a,169,0.4,0.1,False
development/dev_track_a,170,0.4,0.2,True
development/dev_track_a,171,0.4,0.2,True
development/dev_track_a,172,0.1,0.7,False
development/dev_track_a,173,0.4,0.2,True
development/dev_track_a,174,0.4,0.2,False
development/dev_track_a,175,0.1,0.4,True
development/dev_track_a,176,0.4,0.2,True
development/dev_track_a,177,0.4,0.1,True
development/dev_track_a,178,0.4,0.2,True
development/dev_track_a,179,0.4,0.3,False
development/dev_track_a,180,0.7,0.4,False
development/dev_track_a,181,0.4,0.1,True
development/dev_track_a,182,0.15,0.0,True
development/dev_track_a,183,0.4,0.7,False
development/dev_track_a,184,0.4,0.2,False
development/dev_track_a,185,0.1,0.4,False
development/dev_track_a,186,0.4,0.1,False
development/dev_track_a,187,0.4,0.1,True
development/dev_track_a,188,0.4,0.1,True
development/dev_track_a,189,0.4,0.1,False
development/dev_track_a,190,0.4,0.2,True
development/dev_track_a,191,0.4,0.2,True
development/dev_track_a,192,0.4,0.2,True
development/dev_track_a,193,0.7,0.1,True
development/dev_track_a,194,0.15,0.1,False
development/dev_track_a,195,0.7,0.2,True
development/dev_track_a,196,0.7,0.2,False
development/dev_track_a,197,0.15,0.0,True
development/dev_track_a,198,0.15,0.05,False
development/dev_track_a,199,0.1,0.4,False
development/dev_track_a,200,0.4,0.3,True
